Player,Age,Tm,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Edgar Bennett,24.0,GNB,FB,16.0,14.0,159.0,550.0,9.0,19.0,3.5,34.4,9.9,0.0,,1993
Greg Robinson,24.0,RAI,RB,12.0,12.0,156.0,591.0,1.0,16.0,3.8,49.3,13.0,3.0,,1993
Barry Word,30.0,MIN,RB,13.0,8.0,142.0,458.0,2.0,14.0,3.2,35.2,10.9,3.0,,1993
Robert Delpino,28.0,DEN,RB,16.0,4.0,131.0,445.0,8.0,18.0,3.4,27.8,8.2,1.0,,1993
Lorenzo White,27.0,HOU,RB,8.0,8.0,131.0,465.0,2.0,14.0,3.5,58.1,16.4,1.0,,1993
Eric Metcalf,25.0,CLE,RB,16.0,9.0,129.0,611.0,1.0,55.0,4.7,38.2,8.1,4.0,"PB,AP-1",1993
Derrick Fenner,26.0,CIN,FB,15.0,14.0,121.0,482.0,1.0,26.0,4.0,32.1,8.1,1.0,,1993
Lewis Tillman,27.0,NYG,RB,16.0,7.0,121.0,585.0,3.0,58.0,4.8,36.6,7.6,1.0,,1993
Tim Worley,27.0,2TM,RB,15.0,3.0,120.0,470.0,2.0,28.0,3.9,31.3,8.0,3.0,,1993
Tim Worley,27.0,PIT,RB,5.0,0.0,10.0,33.0,0.0,8.0,3.3,6.6,2.0,0.0,,1993
Tim Worley,27.0,CHI,RB,10.0,3.0,110.0,437.0,2.0,28.0,4.0,43.7,11.0,3.0,,1993
Terry Kirby,23.0,MIA,RB,16.0,8.0,119.0,390.0,3.0,20.0,3.3,24.4,7.4,5.0,,1993
Scottie Graham,24.0,MIN,RB,7.0,3.0,118.0,488.0,3.0,31.0,4.1,69.7,16.9,0.0,,1993
Heath Sherman,26.0,PHI,FB,15.0,7.0,115.0,406.0,2.0,19.0,3.5,27.1,7.7,3.0,,1993
Kenneth Davis,31.0,BUF,RB,16.0,0.0,109.0,391.0,6.0,19.0,3.6,24.4,6.8,3.0,,1993
Anthony Johnson,26.0,IND,FB,13.0,8.0,95.0,331.0,1.0,14.0,3.5,25.5,7.3,5.0,,1993
Derrick Moore,26.0,DET,RB,13.0,3.0,88.0,405.0,3.0,48.0,4.6,31.2,6.8,4.0,,1993
Vaughn Hebron,23.0,PHI,RB,16.0,4.0,84.0,297.0,3.0,33.0,3.5,18.6,5.3,5.0,,1993
Robert Smith,21.0,MIN,RB,10.0,2.0,82.0,399.0,2.0,26.0,4.9,39.9,8.2,0.0,,1993
John Williams,29.0,SEA,FB,16.0,9.0,82.0,371.0,3.0,38.0,4.5,23.2,5.1,2.0,,1993
Cleveland Gary,27.0,RAM,RB,15.0,4.0,79.0,293.0,1.0,15.0,3.7,19.5,5.3,1.0,,1993
Vince Workman,25.0,TAM,FB,16.0,11.0,78.0,284.0,2.0,21.0,3.6,17.8,4.9,2.0,,1993
Garrison Hearst,22.0,PHO,RB,6.0,5.0,76.0,264.0,1.0,57.0,3.5,44.0,12.7,2.0,,1993
Kimble Anders,27.0,KAN,FB,16.0,13.0,75.0,291.0,0.0,18.0,3.9,18.2,4.7,1.0,,1993
Derrick Lassic,23.0,DAL,RB,10.0,3.0,75.0,269.0,3.0,15.0,3.6,26.9,7.5,2.0,,1993
Amp Lee,22.0,SFO,RB,15.0,3.0,72.0,230.0,1.0,13.0,3.2,15.3,4.8,1.0,,1993
Dave Meggett,27.0,NYG,RB,16.0,1.0,69.0,329.0,0.0,23.0,4.8,20.6,4.3,1.0,,1993
Steve Young,32.0,SFO,QB,16.0,16.0,69.0,407.0,2.0,35.0,5.9,25.4,4.3,8.0,"PB,AP-1,AP MVP-2,AP OPoY-2",1993
Craig Heyward,27.0,CHI,FB,16.0,14.0,68.0,206.0,0.0,11.0,3.0,12.9,4.3,1.0,,1993
Rick Mirer,23.0,SEA,QB,16.0,16.0,68.0,343.0,3.0,33.0,5.0,21.4,4.3,13.0,AP ORoY-2,1993
Nick Bell,25.0,RAI,RB,10.0,3.0,67.0,180.0,1.0,12.0,2.7,18.0,6.7,2.0,,1993
Rodney Culver,24.0,IND,RB,16.0,1.0,65.0,150.0,3.0,9.0,2.3,9.4,4.1,3.0,,1993
Keith Byars,30.0,MIA,FB,16.0,16.0,64.0,269.0,3.0,77.0,4.2,16.8,4.0,3.0,PB,1993
Brad Muster,28.0,NOR,FB,13.0,11.0,64.0,214.0,3.0,18.0,3.3,16.5,4.9,0.0,,1993
Brian Mitchell,25.0,WAS,RB,16.0,4.0,63.0,246.0,3.0,29.0,3.9,15.4,3.9,3.0,,1993
Corey Croom,22.0,NWE,RB,14.0,1.0,60.0,198.0,1.0,22.0,3.3,14.1,4.3,1.0,,1993
Jim Harbaugh,30.0,CHI,QB,15.0,15.0,60.0,277.0,4.0,25.0,4.6,18.5,4.0,15.0,,1993
Blair Thomas,26.0,NYJ,RB,11.0,5.0,59.0,221.0,1.0,24.0,3.7,20.1,5.4,0.0,,1993
Brett Favre,24.0,GNB,QB,16.0,16.0,58.0,216.0,1.0,27.0,3.7,13.5,3.6,14.0,PB,1993
Marc Logan,28.0,SFO,FB,14.0,12.0,58.0,280.0,7.0,45.0,4.8,20.0,4.1,2.0,,1993
Leroy Hoard,25.0,CLE,FB,16.0,7.0,56.0,227.0,0.0,30.0,4.1,14.2,3.5,4.0,,1993
Jeff Hostetler,32.0,RAI,QB,15.0,15.0,55.0,202.0,5.0,19.0,3.7,13.5,3.7,6.0,,1993
John Stephens,27.0,2TM,RB,12.0,5.0,54.0,191.0,1.0,22.0,3.5,15.9,4.5,1.0,,1993
John Stephens,27.0,GNB,RB,5.0,5.0,48.0,173.0,1.0,22.0,3.6,34.6,9.6,0.0,,1993
John Stephens,27.0,KAN,RB,7.0,0.0,6.0,18.0,0.0,7.0,3.0,2.6,0.9,1.0,,1993
Eric Lynch,23.0,DET,RB,4.0,2.0,53.0,207.0,2.0,15.0,3.9,51.8,13.3,1.0,,1993
Glyn Milburn,22.0,DEN,RB,16.0,2.0,52.0,231.0,0.0,26.0,4.4,14.4,3.3,9.0,,1993
Merril Hoge,28.0,PIT,FB,16.0,13.0,51.0,249.0,1.0,30.0,4.9,15.6,3.2,0.0,,1993
Fred McAfee,25.0,NOR,RB,15.0,4.0,51.0,160.0,1.0,27.0,3.1,10.7,3.4,3.0,,1993
Todd McNair,28.0,KAN,RB,15.0,1.0,51.0,278.0,2.0,47.0,5.5,18.5,3.4,2.0,,1993
Ricky Ervins,25.0,WAS,RB,15.0,1.0,50.0,201.0,0.0,18.0,4.0,13.4,3.3,2.0,,1993
Dalton Hilliard,29.0,NOR,RB,16.0,0.0,50.0,165.0,2.0,16.0,3.3,10.3,3.1,2.0,,1993
Kevin Turner,24.0,NWE,FB,16.0,9.0,50.0,231.0,0.0,49.0,4.6,14.4,3.1,1.0,,1993
Johnny Bailey,26.0,PHO,RB,13.0,0.0,49.0,253.0,1.0,31.0,5.2,19.5,3.8,4.0,,1993
Sam Gash,24.0,NWE,FB,15.0,4.0,48.0,149.0,1.0,14.0,3.1,9.9,3.2,1.0,,1993
Warren Moon,37.0,HOU,QB,15.0,14.0,48.0,145.0,1.0,35.0,3.0,9.7,3.2,13.0,"PB,AP MVP-6",1993
Steve Smith,29.0,RAI,FB,16.0,13.0,47.0,156.0,0.0,13.0,3.3,9.8,2.9,1.0,,1993
Ronnie Harmon,29.0,SDG,RB,16.0,1.0,46.0,216.0,0.0,19.0,4.7,13.5,2.9,0.0,,1993
Boomer Esiason,32.0,NYJ,QB,16.0,16.0,45.0,118.0,1.0,17.0,2.6,7.4,2.8,13.0,PB,1993
Rodney Peete,27.0,DET,QB,10.0,10.0,45.0,165.0,1.0,28.0,3.7,16.5,4.5,11.0,,1993
John Elway,33.0,DEN,QB,16.0,16.0,44.0,153.0,0.0,18.0,3.5,9.6,2.8,8.0,"PB,AP-2,AP MVP-4,AP OPoY-4",1993
Harvey Williams,26.0,KAN,RB,7.0,6.0,42.0,149.0,0.0,19.0,3.5,21.3,6.0,3.0,,1993
David Klingler,24.0,CIN,QB,14.0,13.0,41.0,282.0,0.0,29.0,6.9,20.1,2.9,7.0,,1993
Steve Broussard,26.0,ATL,RB,8.0,0.0,39.0,206.0,1.0,26.0,5.3,25.8,4.9,0.0,,1993
James Joseph,26.0,PHI,FB,16.0,5.0,39.0,140.0,0.0,12.0,3.6,8.8,2.4,0.0,,1993
Roger Craig,33.0,MIN,RB,14.0,3.0,38.0,119.0,1.0,11.0,3.1,8.5,2.7,1.0,,1993
Napoleon McCallum,30.0,RAI,RB,13.0,1.0,37.0,114.0,3.0,14.0,3.1,8.8,2.8,1.0,,1993
Tyrone Montgomery,23.0,RAI,RB,12.0,0.0,37.0,106.0,0.0,15.0,2.9,8.8,3.1,2.0,,1993
Jim Kelly,33.0,BUF,QB,16.0,16.0,36.0,102.0,0.0,17.0,2.8,6.4,2.3,7.0,,1993
Jon Vaughn,23.0,SEA,RB,16.0,2.0,36.0,153.0,0.0,37.0,4.3,9.6,2.3,1.0,,1993
Lincoln Coleman,24.0,DAL,FB,7.0,0.0,34.0,132.0,2.0,16.0,3.9,18.9,4.9,1.0,,1993
